"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\App.css", "CSS", 0, 0, 0, 1, 1
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\App.js", "JavaScript", 0, 66, 0, 12, 78
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\api\chatApi.js", "JavaScript", 0, 17, 0, 5, 22
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\Layout.js", "JavaScript", 0, 14, 0, 2, 16
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\ChatSidebar.js", "JavaScript", 0, 60, 2, 10, 72
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\ChatSidebar.module.css", "CSS", 46, 0, 0, 7, 53
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\GroupSidebar.js", "JavaScript", 0, 124, 4, 18, 146
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\GroupSidebar.module.css", "CSS", 118, 0, 0, 17, 135
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\NavBar.js", "JavaScript", 0, 100, 0, 16, 116
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\NavBar.module.css", "CSS", 123, 0, 2, 25, 150
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\Post\Post.js", "JavaScript", 0, 176, 1, 16, 193
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\Post\PostAction.js", "JavaScript", 0, 8, 0, 0, 8
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\Post\PostCreation.js", "JavaScript", 0, 96, 0, 12, 108
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\RecommendedUser.js", "JavaScript", 0, 123, 0, 12, 135
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\Sidebar.js", "JavaScript", 0, 70, 0, 4, 74
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\User\AboutSection.js", "JavaScript", 0, 48, 0, 2, 50
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\User\EducationSection.js", "JavaScript", 0, 113, 0, 6, 119
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\User\ProfileHeader.js", "JavaScript", 0, 236, 0, 24, 260
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\User\ProfileHeader.module.css", "CSS", 107, 0, 0, 23, 130
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\User\ResourcesSection.js", "JavaScript", 0, 169, 5, 16, 190
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\forum\Answer.js", "JavaScript", 0, 95, 2, 13, 110
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\forum\AskQuestion.js", "JavaScript", 0, 126, 1, 18, 145
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\forum\ForumList.js", "JavaScript", 0, 125, 0, 13, 138
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\forum\ImageUploader.js", "JavaScript", 0, 62, 2, 12, 76
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\forum\QuestionDetail.js", "JavaScript", 0, 184, 0, 24, 208
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\index.css", "CSS", 3, 0, 1, 1, 5
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\index.js", "JavaScript", 0, 20, 0, 5, 25
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\lib\axios.js", "JavaScript", 0, 8, 0, 1, 9
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\lib\utils.js", "JavaScript", 0, 3, 0, 1, 4
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\PostPage.js", "JavaScript", 0, 31, 0, 7, 38
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\about\About.js", "JavaScript", 0, 22, 0, 11, 33
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\auth\Auth.js", "JavaScript", 0, 59, 2, 5, 66
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\auth\Auth.module.css", "CSS", 222, 0, 1, 33, 256
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\auth\Login.js", "JavaScript", 0, 54, 4, 7, 65
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\auth\Register.js", "JavaScript", 0, 76, 4, 9, 89
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\chat\MeetPage.js", "JavaScript", 0, 35, 0, 9, 44
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\chat\SingleChatPAge.js", "JavaScript", 0, 126, 3, 16, 145
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\chat\SingleGroupPage.js", "JavaScript", 0, 163, 3, 21, 187
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\Explore.js", "JavaScript", 0, 50, 1, 11, 62
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\GameBasedRelief.js", "JavaScript", 0, 279, 28, 47, 354
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\SenseBasedRelief.js", "JavaScript", 0, 345, 14, 42, 401
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\TextBasedRelief.js", "JavaScript", 0, 258, 0, 30, 288
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\ui\button.js", "JavaScript", 0, 32, 0, 7, 39
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\ui\card.js", "JavaScript", 0, 34, 0, 10, 44
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\ui\tabs.js", "JavaScript", 0, 38, 0, 8, 46
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\feature\Feature.js", "JavaScript", 0, 22, 0, 10, 32
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\forum\Forum.js", "JavaScript", 0, 16, 0, 4, 20
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\home\HomePage.js", "JavaScript", 0, 60, 0, 12, 72
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\home\HomePage.module.css", "CSS", 21, 0, 0, 4, 25
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\landing\Footer.js", "JavaScript", 0, 77, 0, 7, 84
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\landing\Header.js", "JavaScript", 0, 60, 0, 7, 67
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\landing\Landing.module.css", "CSS", 207, 0, 7, 35, 249
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\landing\LandingPage.js", "JavaScript", 0, 24, 0, 9, 33
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\landing\Main.js", "JavaScript", 0, 168, 0, 7, 175
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\CreateQuiz.js", "JavaScript", 0, 157, 0, 16, 173
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\Home.js", "JavaScript", 0, 120, 0, 14, 134
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\Quiz.js", "JavaScript", 0, 21, 0, 3, 24
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\QuizGen.js", "JavaScript", 0, 58, 0, 9, 67
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\StartQuiz.js", "JavaScript", 0, 161, 3, 23, 187
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\StartQuizById.js", "JavaScript", 0, 163, 0, 19, 182
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\reward\Reward.js", "JavaScript", 0, 9, 0, 2, 11
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\search\Search.js", "JavaScript", 0, 123, 1, 11, 135
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\user\ProfilePage.js", "JavaScript", 0, 42, 0, 12, 54
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\utils\dateUtils.js", "JavaScript", 0, 5, 0, 1, 6
"Total", "-", 847, 4931, 91, 794, 6663
